# _tick,_time,frames,mean_episode_return_0,loss_0
147,1760608092.466235,470400,-0.09664292633533478,0.7994096279144287
148,1760608093.1896276,473600,-0.09673924744129181,0.7922168970108032
149,1760608093.753864,476800,-0.09677585959434509,0.7908999919891357
150,1760608094.572085,480000,-0.09426257759332657,0.7899384498596191
151,1760608095.2963338,483200,-0.09387387335300446,0.7945445775985718
152,1760608095.901788,486400,-0.09355491399765015,0.7882940769195557
153,1760608096.8669035,489600,-0.09409169852733612,0.8223881721496582
154,1760608097.5257623,492800,-0.09379195421934128,0.8703245520591736
155,1760608098.1660295,496000,-0.09419816732406616,0.8234696388244629
156,1760608098.8279963,499200,-0.09369619190692902,0.8066105842590332
157,1760608099.3380234,502400,-0.09431448578834534,0.7926223278045654
158,1760608100.235439,505600,-0.09418728202581406,0.8140969276428223
159,1760608100.9589477,508800,-0.0940730944275856,0.8090159893035889
160,1760608101.5762537,512000,-0.09382602572441101,0.8003584146499634
161,1760608102.1409097,515200,-0.0934055894613266,0.7889180183410645
162,1760608102.8854349,518400,-0.09324008226394653,0.8027987480163574
163,1760608103.5515854,521600,-0.09319919347763062,0.7982867360115051
164,1760608104.436642,524800,-0.09459802508354187,0.8936784267425537
165,1760608105.1934047,528000,-0.09503334760665894,0.8736373782157898
166,1760608105.8398736,531200,-0.09506732225418091,0.8016423583030701
167,1760608106.6424296,534400,-0.09531774371862411,0.8012169003486633
168,1760608106.5076005,537600,-0.09457104653120041,0.8027046918869019
169,1760608107.2447286,540800,-0.09508510679006577,0.787697970867157
170,1760608108.039315,544000,-0.09480012953281403,0.7969660758972168
171,1760608108.7035568,547200,-0.09503092616796494,0.7913061380386353
172,1760608109.3604634,550400,-0.09440381824970245,0.8098957538604736
173,1760608110.0506778,553600,-0.0944330096244812,0.822465717792511
174,1760608110.6290584,556800,-0.0940934270620346,0.7925423383712769
175,1760608111.153492,560000,-0.0941598117351532,0.8008460998535156
176,1760608111.730856,563200,-0.09351352602243423,0.7977606058120728
177,1760608112.2350416,566400,-0.09332067519426346,0.8081393241882324
178,1760608113.1613753,569600,-0.09314443916082382,0.8052646517753601
179,1760608113.7365353,572800,-0.09315063804388046,0.8051400780677795
180,1760608114.3419511,576000,-0.09309118241071701,0.8182728290557861
181,1760608114.9611626,579200,-0.0932813286781311,0.8108991980552673
182,1760608115.664848,582400,-0.09358074516057968,0.8100345730781555
183,1760608116.4919114,585600,-0.093936987221241,0.7917869091033936
184,1760608117.1337698,588800,-0.09418616443872452,0.801210880279541
185,1760608117.803294,592000,-0.09377691149711609,0.8242143392562866
186,1760608118.5258,595200,-0.09358213096857071,0.8339994549751282
187,1760608119.2052102,598400,-0.09388866275548935,0.8159278631210327
